# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# LI/B
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
2.19000e+00    6.68532e-01    
2.22714e+00    6.71919e-01    
2.26492e+00    6.75358e-01    
2.30334e+00    6.78865e-01    
2.34240e+00    6.82455e-01    
2.38214e+00    6.86145e-01    
2.42254e+00    6.89953e-01    
2.46363e+00    6.93889e-01    
2.50542e+00    6.97959e-01    
2.54792e+00    7.02164e-01    
2.59113e+00    7.06503e-01    
2.63508e+00    7.10971e-01    
2.67978e+00    7.15558e-01    
2.72523e+00    7.20251e-01    
2.77146e+00    7.25030e-01    
2.81847e+00    7.29872e-01    
2.86627e+00    7.34751e-01    
2.91489e+00    7.39642e-01    
2.96433e+00    7.44526e-01    
3.01461e+00    7.49381e-01    
3.06575e+00    7.54191e-01    
3.11775e+00    7.58940e-01    
3.17063e+00    7.63613e-01    
3.22441e+00    7.68202e-01    
3.27910e+00    7.72702e-01    
3.33472e+00    7.77109e-01    
3.39128e+00    7.81421e-01    
3.44880e+00    7.85629e-01    
3.50730e+00    7.89722e-01    
3.56679e+00    7.93686e-01    
3.62729e+00    7.97505e-01    
3.68882e+00    8.01166e-01    
3.75139e+00    8.04652e-01    
3.81502e+00    8.07951e-01    
3.87973e+00    8.11049e-01    
3.94553e+00    8.13943e-01    
4.01246e+00    8.16638e-01    
4.08052e+00    8.19146e-01    
4.14973e+00    8.21481e-01    
4.22012e+00    8.23652e-01    
4.29170e+00    8.25668e-01    
4.36449e+00    8.27534e-01    
4.43852e+00    8.29254e-01    
4.51381e+00    8.30830e-01    
4.59037e+00    8.32265e-01    
4.66823e+00    8.33557e-01    
4.74741e+00    8.34708e-01    
4.82794e+00    8.35720e-01    
4.90983e+00    8.36600e-01    
4.99311e+00    8.37352e-01    
5.07780e+00    8.37982e-01    
5.16393e+00    8.38495e-01    
5.25152e+00    8.38896e-01    
5.34059e+00    8.39193e-01    
5.43118e+00    8.39398e-01    
5.52330e+00    8.39519e-01    
5.61698e+00    8.39567e-01    
5.71226e+00    8.39552e-01    
5.80915e+00    8.39483e-01    
5.90768e+00    8.39369e-01    
6.00789e+00    8.39219e-01    
6.10979e+00    8.39040e-01    
6.21342e+00    8.38836e-01    
6.31882e+00    8.38612e-01    
6.42599e+00    8.38370e-01    
6.53499e+00    8.38114e-01    
6.64584e+00    8.37845e-01    
6.75856e+00    8.37567e-01    
6.87320e+00    8.37283e-01    
6.98978e+00    8.36994e-01    
7.10834e+00    8.36701e-01    
7.22891e+00    8.36406e-01    
7.35153e+00    8.36111e-01    
7.47622e+00    8.35817e-01    
7.60303e+00    8.35523e-01    
7.73199e+00    8.35231e-01    
7.86314e+00    8.34940e-01    
7.99651e+00    8.34652e-01    
8.13215e+00    8.34367e-01    
8.27008e+00    8.34083e-01    
8.41036e+00    8.33798e-01    
8.55301e+00    8.33510e-01    
8.69809e+00    8.33216e-01    
8.84562e+00    8.32914e-01    
8.99566e+00    8.32600e-01    
9.14825e+00    8.32272e-01    
9.30342e+00    8.31927e-01    
9.46122e+00    8.31562e-01    
9.62170e+00    8.31177e-01    
9.78490e+00    8.30770e-01    
9.95087e+00    8.30342e-01    
1.01197e+01    8.29895e-01    
1.02913e+01    8.29429e-01    
1.04659e+01    8.28948e-01    
1.06434e+01    8.28453e-01    
1.08239e+01    8.27946e-01    
1.10075e+01    8.27431e-01    
1.11942e+01    8.26910e-01    
1.13841e+01    8.26384e-01    
1.15772e+01    8.25854e-01    
1.17735e+01    8.25321e-01    
1.19733e+01    8.24785e-01    
1.21763e+01    8.24245e-01    
1.23829e+01    8.23703e-01    
1.25929e+01    8.23156e-01    
1.28065e+01    8.22604e-01    
1.30237e+01    8.22046e-01    
1.32446e+01    8.21482e-01    
1.34693e+01    8.20912e-01    
1.36977e+01    8.20337e-01    
1.39301e+01    8.19756e-01    
1.41664e+01    8.19171e-01    
1.44067e+01    8.18582e-01    
1.46510e+01    8.17992e-01    
1.48995e+01    8.17401e-01    
1.51522e+01    8.16814e-01    
1.54093e+01    8.16231e-01    
1.56706e+01    8.15653e-01    
1.59364e+01    8.15078e-01    
1.62067e+01    8.14506e-01    
1.64816e+01    8.13936e-01    
1.67612e+01    8.13367e-01    
1.70455e+01    8.12800e-01    
1.73346e+01    8.12235e-01    
1.76286e+01    8.11672e-01    
1.79277e+01    8.11111e-01    
1.82317e+01    8.10551e-01    
1.85410e+01    8.09993e-01    
1.88555e+01    8.09436e-01    
1.91753e+01    8.08881e-01    
1.95005e+01    8.08328e-01    
1.98313e+01    8.07777e-01    
2.01677e+01    8.07227e-01    
2.05098e+01    8.06679e-01    
2.08576e+01    8.06134e-01    
2.12114e+01    8.05590e-01    
2.15712e+01    8.05048e-01    
2.19371e+01    8.04510e-01    
2.23092e+01    8.03975e-01    
2.26876e+01    8.03443e-01    
2.30724e+01    8.02914e-01    
2.34638e+01    8.02388e-01    
2.38618e+01    8.01865e-01    
2.42665e+01    8.01345e-01    
2.46781e+01    8.00829e-01    
2.50967e+01    8.00316e-01    
2.55224e+01    7.99807e-01    
2.59553e+01    7.99301e-01    
2.63955e+01    7.98798e-01    
2.68432e+01    7.98299e-01    
2.72985e+01    7.97803e-01    
2.77616e+01    7.97310e-01    
2.82325e+01    7.96821e-01    
2.87113e+01    7.96335e-01    
2.91983e+01    7.95852e-01    
2.96936e+01    7.95372e-01    
3.01972e+01    7.94895e-01    
3.07094e+01    7.94422e-01    
3.12303e+01    7.93951e-01    
3.17601e+01    7.93484e-01    
3.22988e+01    7.93019e-01    
3.28466e+01    7.92557e-01    
3.34037e+01    7.92098e-01    
3.39703e+01    7.91642e-01    
3.45465e+01    7.91189e-01    
3.51325e+01    7.90738e-01    
3.57284e+01    7.90290e-01    
3.63344e+01    7.89845e-01    
3.69507e+01    7.89402e-01    
3.75775e+01    7.88962e-01    
3.82149e+01    7.88524e-01    
3.88631e+01    7.88089e-01    
3.95222e+01    7.87656e-01    
4.01926e+01    7.87225e-01    
4.08743e+01    7.86797e-01    
4.15677e+01    7.86372e-01    
4.22727e+01    7.85948e-01    
4.29897e+01    7.85527e-01    
4.37189e+01    7.85108e-01    
4.44605e+01    7.84691e-01    
4.52146e+01    7.84276e-01    
4.59815e+01    7.83863e-01    
4.67615e+01    7.83452e-01    
4.75546e+01    7.83044e-01    
4.83612e+01    7.82637e-01    
4.91815e+01    7.82232e-01    
5.00157e+01    7.81829e-01    
5.08641e+01    7.81428e-01    
5.17268e+01    7.81029e-01    
5.26042e+01    7.80631e-01    
5.34965e+01    7.80236e-01    
5.44039e+01    7.79842e-01    
5.53267e+01    7.79450e-01    
5.62651e+01    7.79059e-01    
5.72194e+01    7.78671e-01    
5.81900e+01    7.78284e-01    
5.91770e+01    7.77898e-01    
6.01807e+01    7.77515e-01    
6.12015e+01    7.77132e-01    
6.22396e+01    7.76752e-01    
6.32953e+01    7.76373e-01    
6.43689e+01    7.75995e-01    
6.54607e+01    7.75619e-01    
6.65711e+01    7.75245e-01    
6.77002e+01    7.74872e-01    
6.88485e+01    7.74501e-01    
7.00163e+01    7.74131e-01    
7.12039e+01    7.73763e-01    
7.24117e+01    7.73396e-01    
7.36399e+01    7.73030e-01    
7.48890e+01    7.72666e-01    
7.61592e+01    7.72304e-01    
7.74510e+01    7.71943e-01    
7.87647e+01    7.71584e-01    
8.01007e+01    7.71226e-01    
8.14594e+01    7.70869e-01    
8.28411e+01    7.70514e-01    
8.42462e+01    7.70160e-01    
8.56752e+01    7.69808e-01    
8.71284e+01    7.69458e-01    
8.86062e+01    7.69109e-01    
9.01092e+01    7.68761e-01    
9.16376e+01    7.68415e-01    
9.31919e+01    7.68071e-01    
9.47726e+01    7.67728e-01    
9.63801e+01    7.67386e-01    
9.80149e+01    7.67047e-01    
9.96774e+01    7.66708e-01    
1.01368e+02    7.66372e-01    
1.03088e+02    7.66037e-01    
1.04836e+02    7.65704e-01    
1.06614e+02    7.65372e-01    
1.08423e+02    7.65043e-01    
1.10262e+02    7.64715e-01    
1.12132e+02    7.64389e-01    
1.14034e+02    7.64064e-01    
1.15968e+02    7.63742e-01    
1.17935e+02    7.63421e-01    
1.19936e+02    7.63103e-01    
1.21970e+02    7.62786e-01    
1.24039e+02    7.62471e-01    
1.26143e+02    7.62159e-01    
1.28282e+02    7.61848e-01    
1.30458e+02    7.61540e-01    
1.32671e+02    7.61234e-01    
1.34921e+02    7.60930e-01    
1.37210e+02    7.60629e-01    
1.39537e+02    7.60329e-01    
1.41904e+02    7.60033e-01    
1.44311e+02    7.59739e-01    
1.46759e+02    7.59447e-01    
1.49248e+02    7.59158e-01    
1.51779e+02    7.58872e-01    
1.54354e+02    7.58588e-01    
1.56972e+02    7.58307e-01    
1.59635e+02    7.58029e-01    
1.62342e+02    7.57754e-01    
1.65096e+02    7.57482e-01    
1.67896e+02    7.57213e-01    
1.70744e+02    7.56946e-01    
1.73640e+02    7.56683e-01    
1.76585e+02    7.56424e-01    
1.79581e+02    7.56167e-01    
